Source;F-Score;Precision;Recall
www.scotsman.com;79.97601378531887;73.48897303409484;88.00604564874926
lifestyle.aol.co.uk;29.88948056577378;96.70200235571261;28.982017404836196
www.metro.co.uk;85.97408082224635;96.44173356639514;77.91358560470911
www.irishhealth.com;82.99595141700405;96.69811320754717;72.69503546099291
www.jarrowandhebburngazette.com;88.28828828828829;84.48275862068965;92.45283018867924
www.thisissurreytoday.co.uk;87.62886597938144;89.94708994708994;85.42713567839196
www.news.com.au;82.62267971886847;93.95148130688617;73.92841163310962
www.barchester.com;90.04524886877829;92.12962962962963;88.05309734513274
www.iomtoday.co.im;81.78913738019169;76.64670658682635;87.67123287671232
www.three.fm;88.77551020408163;97.75280898876404;81.30841121495327
www.mirror.co.uk;87.46225554207622;91.77891833093187;85.23955768167941
www.wcti12.com;1.705756929637527;14.285714285714285;0.9070294784580499
www.christian.org.uk;82.33576642335765;94.63087248322147;72.86821705426357
www.nursingtimes.net;93.79510071953642;98.18712868472669;89.78096378785071
yourlife.usatoday.com;80.14053104535579;79.98325425690798;84.0151340618906
www.cbc.ca;84.5039534419905;89.27911591075063;82.25666213255572
www.vancouversun.com;85.51254099119963;88.37598847995665;84.54416290946504
www.calgaryherald.com;79.83942916521819;95.49425765554692;70.07415403124702
calgary.ctv.ca;92.87454275671087;94.70363162582049;91.17103782355531
www.torontosun.com;82.66468253968253;95.18459915611814;73.21428571428572
www.australianageingagenda.com.au;89.72721996517701;87.14768883878241;92.46411483253588
www.montrealgazette.com;87.28612358956373;91.59606799871781;83.89556200240126
www.winnipegsun.com;59.04761904761904;97.55244755244755;42.33687405159332
www.ottawacitizen.com;79.09433962264151;97.76119402985076;66.41318124207858
ottawa.ctv.ca;40.433145963099875;29.46491414502466;83.59297249240323
thechronicleherald.ca;92.80430396772024;97.45762711864407;88.57509627727856
ckom.com;88.0;93.61702127659575;83.01886792452831
www.leaderpost.com;90.33816425120773;95.8974358974359;85.38812785388129
www.myfoxorlando.com;95.2649379932356;97.57505773672055;93.06167400881057
www.miamiherald.com;95.38729329852045;97.85714285714285;93.0390492359932
www.news-press.com;87.11819389110225;92.65536723163842;82.20551378446115
www.wctv.tv;83.38461538461537;84.95297805642633;81.87311178247734
news.nationalpost.com;87.27918617912087;85.8072181643627;89.36360797679701
www.upi.com;90.64039408866995;96.33507853403141;85.5813953488372
www2.canada.com;93.44878377559675;96.65869864678713;90.45365870960876
psychcentral.com;93.66465855977282;96.78545804130306;90.75316510740865
www.marketingmagazine.co.uk;83.91038696537679;84.77366255144034;83.06451612903226
www.proactiveinvestors.com;91.79046129788895;90.1689708141321;93.47133757961782
www.sunderlandecho.com;82.69585798967609;79.61593494552821;86.10935612232456
news.sky.com;86.30783758262513;91.4;81.7531305903399
www.thelocal.de;89.43089430894308;96.20991253644316;83.54430379746836
www.northamptonchron.co.uk;88.72604284103721;87.10570005534034;90.40781160252729
www.sabotagetimes.com;96.77642980935875;97.07927677329624;96.47546648237734
www.belfasttelegraph.co.uk;71.02390639670655;61.939655172413794;89.64139188034339
www.yorkshireeveningpost.co.uk;89.96188055908513;93.40369393139841;86.76470588235294
www.msnbc.msn.com;71.2351945854484;67.36;75.58348294434471
cmvlive.com;94.03131115459884;95.62189054726367;92.49278152069297
www.cnn.com;89.51887492894349;97.50050753735991;82.76969671434343
www.boston.com;83.33253088425876;96.99000602834047;73.3168443250902
www.forbes.com;94.59876002985192;98.46065150782132;91.19012733478466
www.slashgear.com;94.8936170212766;98.67256637168141;91.39344262295081
www.newsnet5.com;87.0748299319728;95.52238805970148;80.0
online.wsj.com;95.51601423487544;97.95620437956204;93.19444444444444
www.cbsnews.com;93.89155799588195;97.99426934097421;90.11857707509881
www.huffingtonpost.com;78.9329285726717;69.0214498616138;92.17092950717405
www.medpagetoday.com;88.63592902329344;91.3999783781215;86.3579103384812
capsules.kaiserhealthnews.org;93.99141630901289;95.42483660130719;92.60042283298098
www.nydailynews.com;65.90378399816879;72.27498284646062;71.32920374193081
allergies.about.com;95.65217391304348;99.09909909909909;92.43697478991596
